コード,銘柄名,市場,終値,前日比,スコア,流入開始,経過日,時価総額,蓄積,出来高質,収縮放れ,転換,乖離率,状態,初動,監視,スキャン日時
2685,アンドエスティＨＤ,プライム,3520.0,-0.85,12.0,-,,1624,0.0,0.0,0.0,12.0,2.1,様子見,False,False,2026-07-12 14:51
268A,リガク・ホールディングス,プライム,2456.0,10.98,5.0,-,,5561,0.0,0.0,0.0,5.0,-3.4,様子見,False,False,2026-07-12 14:51
2695,くら寿司,プライム,1590.0,-1.24,30.0,07/08,3.0,1264,0.0,6.0,12.0,12.0,0.8,収縮中 (監視),False,False,2026-07-12 14:51
2726,パルグループホールディングス,プライム,1465.0,-1.61,33.0,-,,2538,0.0,21.0,0.0,12.0,1.4,様子見,False,False,2026-07-12 14:51
2730,エディオン,プライム,2291.0,-1.59,17.0,-,,2422,0.0,0.0,0.0,17.0,-1.9,様子見,False,False,2026-07-12 14:51
2733,あらた,プライム,2530.0,-0.08,45.0,06/29,10.0,847,30.0,0.0,0.0,15.0,2.5,様子見,False,False,2026-07-12 14:51
2734,サーラコーポレーション,プライム,1146.0,0.0,17.6,-,,725,12.0,25.0,0.0,7.0,8.4,過熱 (初動ではない),False,False,2026-07-12 14:51
2737,トーメンデバイス,プライム,15690.0,-0.25,5.0,-,,1067,0.0,0.0,0.0,5.0,-3.2,様子見,False,False,2026-07-12 14:51
2742,ハローズ,プライム,3770.0,-1.44,34.0,07/07,4.0,805,0.0,0.0,12.0,22.0,0.0,収縮中 (監視),False,False,2026-07-12 14:51
2749,ＪＰホールディングス,プライム,614.0,0.99,12.0,-,,526,0.0,0.0,0.0,12.0,4.0,様子見,False,False,2026-07-12 14:51
2752,フジオフードグループ本社,プライム,1086.0,-0.64,0.0,-,,557,0.0,0.0,0.0,0.0,-4.5,様子見,False,False,2026-07-12 14:51
2753,あみやき亭,プライム,1333.0,-0.07,16.0,06/29,10.0,274,0.0,0.0,0.0,16.0,-0.2,収縮中 (監視),False,False,2026-07-12 14:51
2760,東京エレクトロン　デバイス,プライム,3910.0,3.99,16.0,-,,1151,0.0,0.0,0.0,16.0,-1.1,様子見,False,False,2026-07-12 14:51
2767,円谷フィールズホールディングス,プライム,1435.0,0.42,56.0,06/29,10.0,893,30.0,11.0,0.0,15.0,3.9,様子見,False,False,2026-07-12 14:51
2768,双日,プライム,5100.0,-0.91,18.0,-,,10611,0.0,4.0,0.0,14.0,-2.0,収縮中 (監視),False,False,2026-07-12 14:51
277A,グロービング,プライム,2106.0,-0.19,6.0,-,,599,0.0,0.0,0.0,6.0,-1.1,収縮中 (監視),False,False,2026-07-12 14:51
2784,アルフレッサ　ホールディングス,プライム,2201.5,-1.1,42.0,06/03,28.0,3862,0.0,0.0,20.0,22.0,0.4,収縮中 (監視),False,False,2026-07-12 14:51
2791,大黒天物産,プライム,4390.0,-0.9,16.0,-,,589,0.0,4.0,0.0,12.0,2.3,様子見,False,False,2026-07-12 14:51
2792,ハニーズホールディングス,プライム,1392.0,-0.14,22.0,-,,388,0.0,7.0,0.0,15.0,0.8,様子見,False,False,2026-07-12 14:51
2801,キッコーマン,プライム,1619.0,-2.38,52.0,07/09,2.0,15001,12.0,11.0,20.0,9.0,0.9,様子見,False,False,2026-07-12 14:51
2802,味の素,プライム,5731.0,0.17,21.0,-,,54706,12.0,0.0,0.0,9.0,2.7,様子見,False,False,2026-07-12 14:51
2804,ブルドックソース,プライム,1806.0,1.12,39.0,-,,228,12.0,0.0,20.0,7.0,3.3,様子見,False,False,2026-07-12 14:51
2809,キユーピー,プライム,4380.0,-2.45,34.0,-,,5986,12.0,10.0,0.0,12.0,2.6,様子見,False,False,2026-07-12 14:51
2810,ハウス食品グループ本社,プライム,3829.0,-1.34,34.0,-,,3687,12.0,15.0,0.0,7.0,4.3,様子見,False,False,2026-07-12 14:51
2811,カゴメ,プライム,2677.0,-1.09,39.0,-,,2420,12.0,15.0,0.0,12.0,2.7,様子見,False,False,2026-07-12 14:51
2815,アリアケジャパン,プライム,5150.0,-0.96,18.0,-,,1640,0.0,0.0,0.0,18.0,1.5,様子見,False,False,2026-07-12 14:51
285A,キオクシアホールディングス,プライム,77000.0,-1.1,12.0,07/07,4.0,421377,0.0,4.0,0.0,8.0,-10.8,様子見,False,False,2026-07-12 14:51
2871,ニチレイ,プライム,2134.0,-1.68,27.0,-,,5348,12.0,6.0,0.0,9.0,0.9,様子見,False,False,2026-07-12 14:51
2874,横浜冷凍,プライム,2065.0,-1.43,61.0,07/09,2.0,1221,30.0,15.0,0.0,16.0,5.2,様子見,False,False,2026-07-12 14:51
2875,東洋水産,プライム,10510.0,-2.1,57.0,06/26,11.0,10231,30.0,15.0,0.0,12.0,3.0,様子見,False,False,2026-07-12 14:51
2882,イートアンドホールディングス,プライム,2035.0,-0.59,40.0,06/29,10.0,231,22.0,6.0,0.0,12.0,1.1,様子見,False,False,2026-07-12 14:51
2884,ヨシムラ・フード・ホールディングス,プライム,661.0,2.96,46.0,-,,158,0.0,4.0,20.0,22.0,5.4,収縮中 (監視),False,False,2026-07-12 14:51
2897,日清食品ホールディングス,プライム,2794.5,-3.5,35.0,-,,8022,12.0,11.0,0.0,12.0,1.3,様子見,False,False,2026-07-12 14:51
2908,フジッコ,プライム,1547.0,-0.26,43.0,06/22,15.0,440,30.0,6.0,0.0,7.0,2.6,様子見,False,False,2026-07-12 14:51
2910,ロック・フィールド,プライム,1363.0,0.15,39.0,-,,356,17.0,15.0,0.0,7.0,4.4,様子見,False,False,2026-07-12 14:51
2914,日本たばこ産業,プライム,6117.0,-1.12,12.0,-,,108599,0.0,0.0,0.0,12.0,1.7,様子見,False,False,2026-07-12 14:51
2915,ケンコーマヨネーズ,プライム,2098.0,-0.38,73.0,06/12,21.0,302,12.0,22.0,20.0,19.0,5.1,初動の可能性,True,False,2026-07-12 14:51
2918,わらべや日洋ホールディングス,プライム,2631.0,0.5,56.0,07/08,3.0,456,0.0,21.0,20.0,15.0,1.1,収縮中 (監視),False,False,2026-07-12 14:51
2922,なとり,プライム,1980.0,0.46,39.0,-,,249,17.0,15.0,0.0,7.0,2.8,様子見,False,False,2026-07-12 14:51
2929,ファーマフーズ,プライム,618.0,2.66,5.2,-,,179,0.0,6.0,0.0,7.0,9.3,過熱 (初動ではない),False,False,2026-07-12 14:51
